x,y
1,94
1,72
1,89
1,28
1,6
1,28
1,11
1,72
1,0
1,0
1,0
1,0
2,11
2,28
2,17
2,0
2,89
2,72
2,83
2,100
2,0
2,0
2,0
2,0
3,0
3,46
3,6
3,94
3,100
3,54
3,94
3,6
3,0
3,0
3,0
3,0
4,11
4,61
4,50
4,6
4,39
4,17
4,11
4,88
4,50
4,22
4,39
4,6
5,33
5,22
5,55
5,100
5,17
5,39
5,28
5,0
5,50
5,39
5,17
5,0
6,22
6,44
6,50
6,94
6,78
6,56
6,50
6,6
6,0
6,0
6,0
6,0
7,0
7,17
7,6
7,0
7,100
7,83
7,94
7,100
7,0
7,0
7,0
7,0
8,0
8,11
8,11
8,0
8,100
8,89
8,89
8,100
8,0
8,0
8,0
8,0
9,61
9,72
9,83
9,100
9,39
9,28
9,17
9,0
9,0
9,0
9,0
9,0
10,0
10,6
10,0
10,0
10,100
10,94
10,100
10,100
10,0
10,0
10,0
10,0
11,100
11,61
11,94
11,83
11,0
11,39
11,6
11,17
11,0
11,0
11,0
11,0
12,100
12,100
12,100
12,100
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
13,89
13,61
13,89
13,94
13,11
13,39
13,11
13,6
13,0
13,0
13,0
13,0
14,100
14,50
14,94
14,50
14,0
14,50
14,6
14,44
14,0
14,0
14,0
14,6
15,56
15,56
15,28
15,0
15,38
15,44
15,55
15,78
15,6
15,0
15,17
15,22
